"Gene","Cluster","Centroid_Pearson_Correlation","Silhouette_Width","Rank_Within_Cluster","Temporal_Cluster"
"CD74","1",0.973227986338528,0.653190120848313,1,"1"
"MTRNR2L8","1",0.954864114522909,0.633264530556644,2,"1"
"HLA-DRA","1",0.953537404927125,0.651256783765799,3,"1"
"TPM1","1",0.950990322845265,0.625417190964487,4,"1"
"MTRNR2L12","1",0.946344085612701,0.642898769446255,5,"1"
"IGHA1","1",0.939450121825152,0.637632003776818,6,"1"
"CLU","1",0.936305727057413,0.619421865944888,7,"1"
"IGLC2","1",0.935414464669153,0.635964274808985,8,"1"
"LTF","1",0.93044645719833,0.62051423717551,9,"1"
"MT-ND4L","1",0.922276879048047,0.628094383479836,10,"1"
"CEBPD","1",0.922162136076083,0.617741994732004,11,"1"
"PSMB9","1",0.91867673118409,0.609763652129933,12,"1"
"IFI16","1",0.916669730555907,0.611290231491519,13,"1"
"MT2A","1",0.913186112294133,0.584747817748963,14,"1"
"HLA-A","1",0.909307695309982,0.578284836426718,15,"1"
"B2M","1",0.908144527331965,0.557801211711697,16,"1"
"HLA-DPA1","1",0.905274317351769,0.603987622673488,17,"1"
"NNMT","1",0.905082287484921,0.595153859937464,18,"1"
"HLA-DRB1","1",0.899578780911235,0.600428385570245,19,"1"
"IGLC3","1",0.888153087358948,0.60068151134533,20,"1"
"BIRC3","1",0.887795923513974,0.587983554913135,21,"1"
"MT-ND3","1",0.886100859784522,0.601023463293339,22,"1"
"IGHG1","1",0.882741741907728,0.597900720651608,23,"1"
"UBC","1",0.876966152746811,0.50015846373827,24,"1"
"LGALS3BP","1",0.87215797649459,0.569297266341335,25,"1"
"TIMP1","1",0.869707235797621,0.563761472164139,26,"1"
"MT-ND5","1",0.856799176941493,0.572943865582214,27,"1"
"MT-ATP6","1",0.850733577558121,0.561897773189233,28,"1"
"SAA1","1",0.840226994389419,0.556435304731559,29,"1"
"IGKC","1",0.838851153887149,0.568950390446226,30,"1"
"MMADHC","2",0.991123718292752,0.730679024582868,1,"2"
"PRDX2","2",0.988588529806881,0.72119222674023,2,"2"
"ATP5PO","2",0.988495963358668,0.732703550763307,3,"2"
"TMEM147","2",0.985935683774799,0.724118242632995,4,"2"
"PYM1","2",0.984905070189593,0.718751850567248,5,"2"
"PIGP","2",0.984848793145565,0.725759755157842,6,"2"
"KDELR1","2",0.983617407619931,0.719372407906079,7,"2"
"VDAC2","2",0.983167695674556,0.720741041012959,8,"2"
"TMEM167A","2",0.982671999930275,0.726750325580482,9,"2"
"ERH","2",0.982584175290392,0.723478324369629,10,"2"
"PSMD4","2",0.982295510486645,0.712453470392347,11,"2"
"LSR","2",0.982222224978477,0.719829291397525,12,"2"
"ETFB","2",0.98191326163743,0.724517490732241,13,"2"
"TRIR","2",0.981032524964986,0.723704870756369,14,"2"
"MTCH1","2",0.980878370820001,0.716555771977368,15,"2"
"GHITM","2",0.9806821533566,0.710085178948461,16,"2"
"ARL6IP6","2",0.980555487087355,0.720515351198644,17,"2"
"SRP19","2",0.980130211620491,0.718173772114719,18,"2"
"SOD1","2",0.979908908228897,0.725374761923121,19,"2"
"HINT2","2",0.979652589667215,0.720821735519807,20,"2"
"EIF3H","2",0.97930987999575,0.720756648078994,21,"2"
"EXOSC4","2",0.979095113422127,0.709921247251659,22,"2"
"BABAM1","2",0.978385888610738,0.722766434456141,23,"2"
"SRP72","2",0.978217914583519,0.709505272851862,24,"2"
"ATP5F1C","2",0.978192803939768,0.724168867525541,25,"2"
"CBR3","2",0.977231289785019,0.718712847337462,26,"2"
"TMEM14A","2",0.977121121091542,0.713507343315238,27,"2"
"PDCD6","2",0.977108751028309,0.717846604387382,28,"2"
"RAD23A","2",0.97688719445626,0.722281804497367,29,"2"
"MRPL36","2",0.976820626521659,0.717531670802776,30,"2"
