"Gene","Spearman_rho","p_value","FDR","Absolute_Spearman_rho","Direction","Stage16B_Strong_Gene"
"IGFBP5",0.719362546762184,0,0,0.719362546762184,"Increasing",TRUE
"NDUFA4L2",0.675276779162637,0,0,0.675276779162637,"Increasing",TRUE
"SEC61B",0.600375507456073,0,0,0.600375507456073,"Increasing",TRUE
"PRDX2",0.585776113240977,0,0,0.585776113240977,"Increasing",TRUE
"RPL7",0.582354482566612,0,0,0.582354482566612,"Increasing",TRUE
"COL8A1",0.580176389418047,0,0,0.580176389418047,"Increasing",TRUE
"VCAN",0.57867653729523,0,0,0.57867653729523,"Increasing",TRUE
"HOOK2",0.576549638973405,0,0,0.576549638973405,"Increasing",TRUE
"CD63",0.575913577677913,0,0,0.575913577677913,"Increasing",TRUE
"MT-ND3",-0.574276974003456,0,0,0.574276974003456,"Decreasing",TRUE
"TMEM205",0.568451988113821,0,0,0.568451988113821,"Increasing",TRUE
"RPL18A",0.559785808303111,0,0,0.559785808303111,"Increasing",TRUE
"TRIR",0.559303031352432,0,0,0.559303031352432,"Increasing",TRUE
"MT-CO2",-0.555364740660432,0,0,0.555364740660432,"Decreasing",TRUE
"CALML3",0.554866901562164,0,0,0.554866901562164,"Increasing",TRUE
"RPL35A",0.552918825462557,0,0,0.552918825462557,"Increasing",TRUE
"IGKC",-0.552405550769452,0,0,0.552405550769452,"Decreasing",TRUE
"CBR3",0.550328456678267,0,0,0.550328456678267,"Increasing",TRUE
"MT-ATP6",-0.548294865200941,0,0,0.548294865200941,"Decreasing",TRUE
"LAPTM4A",0.548176805176369,0,0,0.548176805176369,"Increasing",TRUE
"CSTB",0.547025787303256,0,0,0.547025787303256,"Increasing",TRUE
"ATP5PO",0.545500957877733,0,0,0.545500957877733,"Increasing",TRUE
"NACA",0.543451798688263,0,0,0.543451798688263,"Increasing",TRUE
"C6orf48",0.541803305202623,0,0,0.541803305202623,"Increasing",TRUE
"RPS16",0.541664963480819,0,0,0.541664963480819,"Increasing",TRUE
"EEF1A1",0.539541658697496,0,0,0.539541658697496,"Increasing",TRUE
"HEY1",0.537946634736291,0,0,0.537946634736291,"Increasing",TRUE
"RPL13A",0.534452940042684,0,0,0.534452940042684,"Increasing",TRUE
"ALDH1A1",0.528805395260455,0,0,0.528805395260455,"Increasing",TRUE
"RPS23",0.526487221593964,0,0,0.526487221593964,"Increasing",TRUE
"RPS25",0.525349372442673,0,0,0.525349372442673,"Increasing",TRUE
"B2M",-0.522482200885127,0,0,0.522482200885127,"Decreasing",TRUE
"ATP5F1C",0.519190317549584,0,0,0.519190317549584,"Increasing",TRUE
"SLPI",0.516345890794957,0,0,0.516345890794957,"Increasing",TRUE
"RPS7",0.515266245704721,0,0,0.515266245704721,"Increasing",TRUE
"RPS18",0.513008453214054,0,0,0.513008453214054,"Increasing",TRUE
"CRABP1",0.512690845273554,0,0,0.512690845273554,"Increasing",TRUE
"EIF3H",0.512636591234209,0,0,0.512636591234209,"Increasing",TRUE
"KRT8",0.508338306819001,0,0,0.508338306819001,"Increasing",TRUE
"HLA-DRA",-0.508314084727711,0,0,0.508314084727711,"Decreasing",TRUE
"CNPY2",0.508083820716561,0,0,0.508083820716561,"Increasing",TRUE
"NUDT5",0.506232263340715,0,0,0.506232263340715,"Increasing",TRUE
"SH3YL1",0.505710756256692,0,0,0.505710756256692,"Increasing",TRUE
"SOD1",0.50191539099476,0,0,0.50191539099476,"Increasing",TRUE
"ERH",0.50134177844653,0,0,0.50134177844653,"Increasing",TRUE
"RPL36",-0.500235051791285,0,0,0.500235051791285,"Decreasing",TRUE
"TSEN34",0.49468640730094,0,0,0.49468640730094,"Increasing",TRUE
"TMEM213",0.494422405210493,0,0,0.494422405210493,"Increasing",TRUE
"MMADHC",0.494102149058543,0,0,0.494102149058543,"Increasing",TRUE
"ETFB",0.49249510127185,0,0,0.49249510127185,"Increasing",TRUE
"ATP5F1B",0.49196732621297,0,0,0.49196732621297,"Increasing",TRUE
"CD74",-0.490343005550872,0,0,0.490343005550872,"Decreasing",TRUE
"RPL27",0.489680127919161,0,0,0.489680127919161,"Increasing",TRUE
"TTYH1",0.488412053451446,0,0,0.488412053451446,"Increasing",TRUE
"DNASE2",0.487898097653757,0,0,0.487898097653757,"Increasing",TRUE
"CRABP2",0.487332606596354,0,0,0.487332606596354,"Increasing",TRUE
"SPINT2",0.486003107955693,0,0,0.486003107955693,"Increasing",TRUE
"TMEM167A",0.484514297183495,0,0,0.484514297183495,"Increasing",TRUE
"RPS5",0.479567450968385,0,0,0.479567450968385,"Increasing",TRUE
"NDUFB5",0.479253439685392,0,0,0.479253439685392,"Increasing",TRUE
"CCSER2",0.477952769054031,0,0,0.477952769054031,"Increasing",TRUE
"PPIC",0.476809531113481,0,0,0.476809531113481,"Increasing",TRUE
"OST4",0.47648812295066,0,0,0.47648812295066,"Increasing",TRUE
"PAM",0.476221678305135,0,0,0.476221678305135,"Increasing",TRUE
"CSRP2",0.474347640346317,0,0,0.474347640346317,"Increasing",TRUE
"RPL23A",0.474126770794861,0,0,0.474126770794861,"Increasing",TRUE
"MT-CYB",-0.47245146564588,0,0,0.47245146564588,"Decreasing",TRUE
"ACTB",-0.471908382419786,0,0,0.471908382419786,"Decreasing",TRUE
"TMSB10",-0.471592218647229,0,0,0.471592218647229,"Decreasing",TRUE
"CYC1",0.469450420056082,0,0,0.469450420056082,"Increasing",TRUE
"TCTEX1D2",0.469053053020482,0,0,0.469053053020482,"Increasing",TRUE
"TSTA3",0.466975199708877,0,0,0.466975199708877,"Increasing",TRUE
"SF3B6",0.466446783378146,0,0,0.466446783378146,"Increasing",TRUE
"SLC9A3R1",0.463676029866492,0,0,0.463676029866492,"Increasing",TRUE
"GHITM",0.463639695116659,0,0,0.463639695116659,"Increasing",TRUE
"CUTA",0.462624367938463,0,0,0.462624367938463,"Increasing",TRUE
"ABRACL",0.461402173427744,0,0,0.461402173427744,"Increasing",TRUE
"RBP4",0.45989921355435,0,0,0.45989921355435,"Increasing",TRUE
"NPW",0.457836322578181,0,0,0.457836322578181,"Increasing",TRUE
"NFIX",0.457521024042189,0,0,0.457521024042189,"Increasing",TRUE
"H3F3A",0.457192242700308,0,0,0.457192242700308,"Increasing",TRUE
"RPL8",0.456178572996333,0,0,0.456178572996333,"Increasing",TRUE
"RAD23A",0.454648644746673,0,0,0.454648644746673,"Increasing",TRUE
"CHST1",0.45431838875555,0,0,0.45431838875555,"Increasing",TRUE
"MT-CO1",-0.453247019627337,0,0,0.453247019627337,"Decreasing",TRUE
"MT-CO3",-0.452315730127152,0,0,0.452315730127152,"Decreasing",TRUE
"PPA1",0.452271605574864,0,0,0.452271605574864,"Increasing",TRUE
