"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","DEG_direction","delta_pct"
0,11.800770391276,0.248,0,0,"LINC02562","Higher_in_BRCA1_tumour",0.248
0,9.78018448445174,0.601,0.001,0,"CALML3","Higher_in_BRCA1_tumour",0.6
0,7.1040792417094,0.216,0.001,0,"CHST1","Higher_in_BRCA1_tumour",0.215
0,6.87861557086008,0.414,0.002,0,"RASIP1","Higher_in_BRCA1_tumour",0.412
0,6.61058946072835,0.139,0.001,0,"CHL1","Higher_in_BRCA1_tumour",0.138
0,6.51802215534215,0.401,0.003,0,"FAM178B","Higher_in_BRCA1_tumour",0.398
0,6.18627724775614,0.12,0.001,0,"MECOM","Higher_in_BRCA1_tumour",0.119
0,6.02801133812665,0.141,0.001,0,"WNT5B","Higher_in_BRCA1_tumour",0.14
0,5.84613566899312,0.104,0.001,0,"ZNF98","Higher_in_BRCA1_tumour",0.103
0,5.77292657513277,0.777,0.018,0,"VCAN","Higher_in_BRCA1_tumour",0.759
0,5.64089500744315,0.115,0.001,0,"ENPEP","Higher_in_BRCA1_tumour",0.114
0,5.56870217884055,0.154,0.002,0,"APCDD1L","Higher_in_BRCA1_tumour",0.152
0,5.55366885136225,0.251,0.004,0,"HOXB2","Higher_in_BRCA1_tumour",0.247
1.28468720002441e-313,5.44308123872115,0.101,0.001,3.19437472286069e-309,"SKAP1","Higher_in_BRCA1_tumour",0.1
0,5.42576295405276,0.224,0.004,0,"EMB","Higher_in_BRCA1_tumour",0.22
0,5.11737100756085,0.19,0.004,0,"USH1C","Higher_in_BRCA1_tumour",0.186
0,5.11433526839637,0.108,0.002,0,"PLAGL1","Higher_in_BRCA1_tumour",0.106
0,5.0696484991392,0.567,0.021,0,"CXCL14","Higher_in_BRCA1_tumour",0.546
0,5.06355095501477,0.313,0.007,0,"DLGAP1","Higher_in_BRCA1_tumour",0.306
0,5.04611914939772,0.863,0.108,0,"IGFBP5","Higher_in_BRCA1_tumour",0.755
0,5.04382878765841,0.111,0.001,0,"HOXB3","Higher_in_BRCA1_tumour",0.11
0,5.03903167157891,0.359,0.01,0,"SERPINB6","Higher_in_BRCA1_tumour",0.349
0,5.03022471716619,0.29,0.011,0,"ALDH1A1","Higher_in_BRCA1_tumour",0.279
0,5.00557595630501,0.12,0.004,0,"BEST4","Higher_in_BRCA1_tumour",0.116
0,4.86099421827207,0.136,0.004,0,"FZD2","Higher_in_BRCA1_tumour",0.132
0,4.83421459376988,0.199,0.005,0,"LRRC34","Higher_in_BRCA1_tumour",0.194
0,4.56155050530356,0.567,0.018,0,"SELENOP","Higher_in_BRCA1_tumour",0.549
0,4.40960138960434,0.153,0.004,0,"ADGRV1","Higher_in_BRCA1_tumour",0.149
0,4.39295495338076,0.267,0.011,0,"GPR160","Higher_in_BRCA1_tumour",0.256
0,4.32197985878146,0.154,0.005,0,"HOXB7","Higher_in_BRCA1_tumour",0.149
0,4.26968375266441,0.359,0.016,0,"GJA1","Higher_in_BRCA1_tumour",0.343
0,4.26345019197974,0.629,0.032,0,"BASP1","Higher_in_BRCA1_tumour",0.597
